Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,negative continuous causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていない,,,,,
,negative resultant causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていない,せてない,,,,
,negative potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられない,,,,,
,negative passive causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられない,,,,,
,negative causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せなければ,せたら,せるなら,せると,,
,negative causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたくない,,,,,
,negative causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきでない,,,,,
,negative continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いなければ,いったら,いるなら,いると,,
,negative potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れなければ,たら,るなら,ると,,
,negative passive conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れなければ,なったら,ないなら,ないと,,
,negative conditional desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たくなければ,たくなったら,たくないなら,たくないと,,
,negative conditional deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでなければ,べきでなったら,べきでないなら,べきでないと,,
,negative completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたくない,,,,,
,negative past deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでなかった,,,,,
,continuous completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていれば,しまっていたら,しまっているなら,しまっていると,,
,continuous completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっているべき,,,,,
,past continuous resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いていた,いてあった,,,,
,negative continuous resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてない,,,,,
,continuous resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてあれば,いてあったら,いてあるなら,いてあると,,
,continuous potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられれば,いれたら,いれるなら,いれると,,
,continuous potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたい,,,,,
,continuous potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられるべき,,,,,
,continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたければ,,,,,
,continuous conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきなら,,,,,
,past completion resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってあった,,,,,
,negative completion resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってない,,,,,
,completion resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってあれば,しまってあったら,しまってあるなら,しまってあると,,
,completion conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたければ,,,,,
,completion conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきなら,,,,,
,negative resultant conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・,なければ,,,,,
,past potential passive,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられた,,,,,
,negative potential passive,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられない,,,,,
,continuous potential passive,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられている,,,,,
